model,data,misc_or_type,no_of_annotations,no_of_predictions,mode,precision,recall,f1,F1_from
dacy_small,1880-1889,false,208,220,partial,0.8816,0.8866,0.8748,Ibsen
dacy_small,1880-1889,false,208,220,type,0.8308,0.8355,0.8241,Ibsen
dacy_small,1890-1905,false,215,316,strict,0.6825,0.7191,0.6898,Ibsen
dacy_small,1890-1905,false,215,316,exact,0.7204,0.7639,0.7299,Ibsen
dacy_small,1890-1905,false,215,316,partial,0.7500,0.8049,0.7638,Ibsen
dacy_small,1890-1905,false,215,316,type,0.7412,0.8001,0.7570,Ibsen
dacy_large,1844-1871,false,281,305,strict,0.7024,0.7604,0.7209,Ibsen
dacy_large,1844-1871,false,281,305,exact,0.7471,0.8040,0.7649,Ibsen
dacy_large,1844-1871,false,281,305,partial,0.7760,0.8373,0.7956,Ibsen
dacy_large,1844-1871,false,281,305,type,0.7581,0.8245,0.7800,Ibsen
dacy_large,1871-1879,false,214,209,strict,0.8237,0.8068,0.8080,Ibsen
dacy_large,1871-1879,false,214,209,exact,0.8676,0.8574,0.8546,Ibsen
dacy_large,1871-1879,false,214,209,partial,0.8896,0.8791,0.8764,Ibsen
dacy_large,1871-1879,false,214,209,type,0.8601,0.8425,0.8440,Ibsen
dacy_large,1880-1889,false,208,205,strict,0.8540,0.8482,0.8469,Ibsen
dacy_large,1880-1889,false,208,205,exact,0.8836,0.8775,0.8763,Ibsen
dacy_large,1880-1889,false,208,205,partial,0.9091,0.9041,0.9023,Ibsen
dacy_large,1880-1889,false,208,205,type,0.9003,0.8966,0.8941,Ibsen
dacy_large,1890-1905,false,215,231,strict,0.8183,0.8298,0.8217,Ibsen
dacy_large,1890-1905,false,215,231,exact,0.8379,0.8504,0.8417,Ibsen
dacy_large,1890-1905,false,215,231,partial,0.8660,0.8841,0.8721,Ibsen
dacy_large,1890-1905,false,215,231,type,0.8559,0.8787,0.8638,Ibsen
spacy_small,1844-1871,false,281,737,strict,0.2099,0.4007,0.2408,Ibsen
spacy_small,1844-1871,false,281,737,exact,0.2579,0.5177,0.3006,Ibsen
spacy_small,1844-1871,false,281,737,partial,0.2966,0.5939,0.3502,Ibsen
spacy_small,1844-1871,false,281,737,type,0.2482,0.4744,0.2903,Ibsen
spacy_small,1871-1879,false,214,240,strict,0.4492,0.5141,0.4552,Ibsen
spacy_small,1871-1879,false,214,240,exact,0.5776,0.6512,0.5853,Ibsen
spacy_small,1871-1879,false,214,240,partial,0.5945,0.6685,0.6021,Ibsen
spacy_small,1871-1879,false,214,240,type,0.4586,0.5218,0.4635,Ibsen
spacy_small,1880-1889,false,208,230,strict,0.6207,0.6509,0.6316,Ibsen
spacy_small,1880-1889,false,208,230,exact,0.7492,0.7732,0.7466,Ibsen
spacy_small,1880-1889,false,208,230,partial,0.7607,0.7878,0.7590,Ibsen
spacy_small,1880-1889,false,208,230,type,0.6392,0.6763,0.6463,Ibsen
spacy_small,1890-1905,false,215,509,strict,0.5498,0.5703,0.5389,Ibsen
spacy_small,1890-1905,false,215,509,exact,0.6815,0.7030,0.6663,Ibsen
spacy_small,1890-1905,false,215,509,partial,0.7173,0.7372,0.6968,Ibsen
spacy_small,1890-1905,false,215,509,type,0.6112,0.6183,0.5886,Ibsen
spacy_medium,1844-1871,false,281,490,strict,0.3517,0.5745,0.4218,Ibsen
spacy_medium,1844-1871,false,281,490,exact,0.3842,0.6535,0.4619,Ibsen
spacy_medium,1844-1871,false,281,490,partial,0.4465,0.7350,0.5309,Ibsen
spacy_medium,1844-1871,false,281,490,type,0.4569,0.7062,0.5360,Ibsen
spacy_medium,1871-1879,false,214,234,strict,0.6241,0.6631,0.6211,Ibsen
spacy_medium,1871-1879,false,214,234,exact,0.6578,0.6992,0.6556,Ibsen
spacy_medium,1871-1879,false,214,234,partial,0.6751,0.7195,0.6741,Ibsen
spacy_medium,1871-1879,false,214,234,type,0.6540,0.6955,0.6519,Ibsen
spacy_medium,1880-1889,false,208,232,strict,0.6716,0.7114,0.6805,Ibsen
spacy_medium,1880-1889,false,208,232,exact,0.7198,0.7660,0.7306,Ibsen
spacy_medium,1880-1889,false,208,232,partial,0.7553,0.8124,0.7704,Ibsen
spacy_medium,1880-1889,false,208,232,type,0.7374,0.7975,0.7542,Ibsen
spacy_medium,1890-1905,false,215,350,strict,0.5963,0.6534,0.6038,Ibsen
spacy_medium,1890-1905,false,215,350,exact,0.6023,0.6670,0.6114,Ibsen
spacy_medium,1890-1905,false,215,350,partial,0.6484,0.7247,0.6612,Ibsen
spacy_medium,1890-1905,false,215,350,type,0.6728,0.7430,0.6846,Ibsen
spacy_large,1844-1871,false,281,465,strict,0.3533,0.5678,0.4137,Ibsen
